Location,FY2020,FY2021,FY2022,FY2023,FY2024
Alkek & McCoy Laptops,9698,4553,,,
Alkek Ask Alkek Desk/Reservea,,,,3533,1333
Alkek CD Shelves,496,263,214,209,192
Alkek Checkout Desk/Reserve,8996,2816,3794,3533,
Alkek Collections - Othere,233,53,166,,
Alkek Collections - Otherf,,,166,47,65
Alkek DVD Shelves,3836,2329,2199,1712,
Alkek DVD Shelvesb,,,,1712,1300
Alkek Exhibit Cases/Cartsc,263,212,202,337,271
Alkek Game Shelves,74,84,102,80,113
"Alkek General Collection, Floors 5-6",41391,34239,34276,33279,33756
Alkek Government Information,50,15,26,57,69
Alkek Graphic Novels,1961,1612,1990,2222,1778
Alkek Juvenile Collection,4724,2856,3470,2869,2940
Alkek Kits,174,40,34,19,9
Alkek Language Learning Media,52,13,35,33,18
Alkek Laptops,,4553,5315,2801,3266
Alkek Models,103,35,41,54,93
Alkek New Books Collection,921,528,777,802,680
Alkek Oned,363,4071,306,928,1941
Alkek Popular Reading Collection,525,555,1011,1170,802
Alkek Secured Collectiond,,,,7544,12601
Alkek Secured Collectione,7881,4543,7606,7544,
Alkek TCMC (K-12 Textbooks),236,85,187,88,82
Alkek Testing Collection,45,35,17,13,
Alkek Testing Collectione,,,,13,12
Alkek Toy Shelves,29,25,18,41,26
Archives & Research Center,306,375,423,615,639
Music Library,2628,1379,1327,144,
Music Libraryg,,,,1538,1370
Round Rock Library,1080,943,779,735,734
